id,text,label,prompt,model,date
771,Human-written text sample 771: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-06-19
772,AI-generated content sample 772: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2025-03-01
773,AI-generated content sample 773: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2023-11-06
774,Human-written text sample 774: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-03-16
775,AI-generated content sample 775: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2023-09-23
776,AI-generated content sample 776: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2025-03-13
777,Human-written text sample 777: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-11-16
778,AI-generated content sample 778: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2024-10-16
779,Human-written text sample 779: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-12-15
780,AI-generated content sample 780: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2025-02-06
781,Human-written text sample 781: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-08-10
782,Human-written text sample 782: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-09-19
783,Human-written text sample 783: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-02-11
784,AI-generated content sample 784: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2024-02-12
785,Human-written text sample 785: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-05-12
786,AI-generated content sample 786: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2024-01-10
787,Human-written text sample 787: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-03-29
788,Human-written text sample 788: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-08-03
789,Human-written text sample 789: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-03-24
790,AI-generated content sample 790: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2024-04-05
791,AI-generated content sample 791: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2024-02-03
792,AI-generated content sample 792: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2025-06-23
793,AI-generated content sample 793: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2025-05-03
794,Human-written text sample 794: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-11-27
795,AI-generated content sample 795: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2024-07-18
796,AI-generated content sample 796: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2024-10-18
797,Human-written text sample 797: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-06-29
798,AI-generated content sample 798: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2023-10-03
799,Human-written text sample 799: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-08-08
800,AI-generated content sample 800: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2024-10-05
801,Human-written text sample 801: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-11-17
802,Human-written text sample 802: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-04-11
803,Human-written text sample 803: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-12-27
804,Human-written text sample 804: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-03-26
805,AI-generated content sample 805: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2024-02-05
806,Human-written text sample 806: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-09-17
807,AI-generated content sample 807: This is an example of text generated by Bard in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Bard,2024-02-24
808,Human-written text sample 808: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-05-08
809,Human-written text sample 809: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-01-24
810,AI-generated content sample 810: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2023-09-06
811,AI-generated content sample 811: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2023-12-08
812,AI-generated content sample 812: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2025-05-18
813,AI-generated content sample 813: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-07-02
814,AI-generated content sample 814: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2024-01-07
815,Human-written text sample 815: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-01-29
816,Human-written text sample 816: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-12-05
817,Human-written text sample 817: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-12-27
818,AI-generated content sample 818: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2025-02-07
819,AI-generated content sample 819: This is an example of text generated by Bard in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Bard,2024-05-10
820,Human-written text sample 820: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-12-07
821,Human-written text sample 821: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-07-09
822,Human-written text sample 822: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-12-12
823,Human-written text sample 823: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-03-01
824,AI-generated content sample 824: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2025-06-29
825,AI-generated content sample 825: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2024-11-11
826,Human-written text sample 826: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-01-12
827,AI-generated content sample 827: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2024-04-23
828,AI-generated content sample 828: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2024-03-20
829,Human-written text sample 829: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-06-12
830,AI-generated content sample 830: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2025-04-22
831,Human-written text sample 831: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-08-09
832,Human-written text sample 832: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-05-03
833,AI-generated content sample 833: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2023-08-03
834,AI-generated content sample 834: This is an example of text generated by ChatGPT in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,ChatGPT,2024-10-03
835,AI-generated content sample 835: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2025-04-19
836,Human-written text sample 836: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-10-27
837,AI-generated content sample 837: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2024-02-25
838,Human-written text sample 838: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-03-25
839,AI-generated content sample 839: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2023-08-29
840,Human-written text sample 840: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-03-29
841,Human-written text sample 841: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-10-02
842,AI-generated content sample 842: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2023-10-04
843,AI-generated content sample 843: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2025-03-24
844,AI-generated content sample 844: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2025-02-03
845,Human-written text sample 845: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-08-19
846,AI-generated content sample 846: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2024-01-26
847,Human-written text sample 847: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-12-16
848,AI-generated content sample 848: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2025-06-23
849,Human-written text sample 849: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-09-10
850,Human-written text sample 850: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-01-07
851,AI-generated content sample 851: This is an example of text generated by ChatGPT in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,ChatGPT,2023-10-15
852,AI-generated content sample 852: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2024-11-02
853,Human-written text sample 853: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-01-06
854,Human-written text sample 854: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-01-23
855,Human-written text sample 855: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-08-06
856,Human-written text sample 856: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-07-17
857,Human-written text sample 857: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-04-10
858,Human-written text sample 858: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-10-08
859,AI-generated content sample 859: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2024-11-26
860,AI-generated content sample 860: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2025-07-26
861,Human-written text sample 861: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-01-04
862,Human-written text sample 862: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-03-04
863,Human-written text sample 863: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-06-27
864,Human-written text sample 864: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-10-05
865,Human-written text sample 865: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-01-03
866,Human-written text sample 866: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-07-17
867,Human-written text sample 867: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-10-28
868,Human-written text sample 868: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-12-25
869,Human-written text sample 869: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-08-14
870,AI-generated content sample 870: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2025-06-18
871,Human-written text sample 871: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-02-07
872,AI-generated content sample 872: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2025-07-16
873,Human-written text sample 873: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-01-03
874,AI-generated content sample 874: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2024-10-27
875,AI-generated content sample 875: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2024-05-19
876,Human-written text sample 876: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-07-05
877,Human-written text sample 877: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-08-15
878,AI-generated content sample 878: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2025-03-17
879,Human-written text sample 879: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-01-02
880,Human-written text sample 880: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-03-20
881,AI-generated content sample 881: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-12-18
882,AI-generated content sample 882: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2024-07-29
883,AI-generated content sample 883: This is an example of text generated by ChatGPT in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,ChatGPT,2025-04-17
884,Human-written text sample 884: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-08-28
885,AI-generated content sample 885: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2024-08-21
886,Human-written text sample 886: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-08-25
887,AI-generated content sample 887: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2023-09-16
888,AI-generated content sample 888: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2023-08-08
889,Human-written text sample 889: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-12-02
890,Human-written text sample 890: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-09-23
891,Human-written text sample 891: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-07-15
892,AI-generated content sample 892: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2025-06-15
893,AI-generated content sample 893: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2025-06-27
894,AI-generated content sample 894: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2024-02-08
895,AI-generated content sample 895: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2025-05-02
896,AI-generated content sample 896: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2024-01-30
897,AI-generated content sample 897: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2024-01-09
898,AI-generated content sample 898: This is an example of text generated by ChatGPT in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,ChatGPT,2024-09-08
899,AI-generated content sample 899: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2024-08-17
900,AI-generated content sample 900: This is an example of text generated by Bard in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Bard,2024-09-18
901,AI-generated content sample 901: This is an example of text generated by ChatGPT in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,ChatGPT,2023-09-24
902,AI-generated content sample 902: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2023-09-02
903,Human-written text sample 903: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-01-20
904,AI-generated content sample 904: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2024-10-17
905,Human-written text sample 905: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-02-18
906,Human-written text sample 906: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-12-07
907,AI-generated content sample 907: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2024-05-28
908,AI-generated content sample 908: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2025-07-07
909,AI-generated content sample 909: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2024-10-26
910,Human-written text sample 910: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-06-20
911,Human-written text sample 911: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-03-09
912,Human-written text sample 912: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-01-31
913,AI-generated content sample 913: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2024-01-26
914,AI-generated content sample 914: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2025-07-09
915,AI-generated content sample 915: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2024-02-07
916,AI-generated content sample 916: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2024-08-27
917,Human-written text sample 917: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-07-11
918,AI-generated content sample 918: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2023-09-27
919,Human-written text sample 919: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-10-12
920,AI-generated content sample 920: This is an example of text generated by ChatGPT in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,ChatGPT,2025-03-23
921,Human-written text sample 921: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-10-09
922,Human-written text sample 922: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-05-09
923,Human-written text sample 923: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-10-26
924,Human-written text sample 924: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-01-26
925,Human-written text sample 925: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-09-06
926,AI-generated content sample 926: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2025-04-25
927,AI-generated content sample 927: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2025-02-25
928,AI-generated content sample 928: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2025-02-02
929,AI-generated content sample 929: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2024-06-12
930,Human-written text sample 930: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-03-04
931,Human-written text sample 931: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-01-02
932,AI-generated content sample 932: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2023-08-08
933,AI-generated content sample 933: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2024-11-02
934,AI-generated content sample 934: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2024-10-01
935,AI-generated content sample 935: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2024-05-20
936,Human-written text sample 936: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-06-15
937,AI-generated content sample 937: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2025-05-31
938,AI-generated content sample 938: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2024-06-22
939,AI-generated content sample 939: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2023-08-19
940,Human-written text sample 940: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-05-12
941,Human-written text sample 941: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-11-25
942,AI-generated content sample 942: This is an example of text generated by ChatGPT in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,ChatGPT,2023-11-17
943,AI-generated content sample 943: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2023-10-02
944,Human-written text sample 944: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-11-26
945,AI-generated content sample 945: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2025-01-22
946,Human-written text sample 946: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-06-18
947,Human-written text sample 947: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-07-12
948,AI-generated content sample 948: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2023-11-20
949,AI-generated content sample 949: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2024-02-15
950,Human-written text sample 950: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-01-20
